,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
80,Meghalaya,121,OBC,2,2,3.0,2,0,2.0,4,2,2.0
81,Meghalaya,121,General,1,4,1.0,2,0,2.0,1,0,1.0
82,Meghalaya,121,SC,4,0,2.0,4,3,1.0,4,2,4.0
83,Meghalaya,121,Overall,0,1,,0,2,,0,1,
84,Meghalaya,121,ST,0,3,0.0,2,1,2.0,0,3,0.0
