,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
125,Telangana,130,OBC,0,1,2.0,2,2,3.0,2,4,1.0
126,Telangana,130,Overall,4,4,,0,0,,2,3,
127,Telangana,130,SC,2,2,4.0,3,2,2.0,2,1,2.0
128,Telangana,130,ST,2,4,4.0,4,2,0.0,4,1,2.0
129,Telangana,130,General,2,2,2.0,4,2,2.0,2,2,2.0
