Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
BUNDI,ST,1.74,0.78,1.24,4.29,4.48,4.39,11.24,6.9,8.89,12709,25.1404091,76.3854503,26.8105777,73.7684549
BUNDI,Overall,0.99,1.29,1.15,2.78,2.01,2.37,8.04,5.28,6.53,12709,25.1404091,76.3854503,26.8105777,73.7684549
CHITTAURGARH,General,4.57,5.48,5.05,4.22,7.54,6.01,9.17,14.82,12.2,12710,24.90313,74.64148,26.8105777,73.7684549
CHITTAURGARH,OBC,2.29,2.6,2.45,4.68,4.49,4.58,9.3,12.28,10.91,12710,24.90313,74.64148,26.8105777,73.7684549
CHITTAURGARH,SC,1.61,3.06,2.36,6.24,6.27,6.26,9.37,13.35,11.51,12710,24.90313,74.64148,26.8105777,73.7684549
CHITTAURGARH,ST,5.18,4.38,4.77,12.16,11.79,11.96,18.24,24.64,21.83,12710,24.90313,74.64148,26.8105777,73.7684549
CHITTAURGARH,Overall,3.11,3.52,3.32,5.95,6.46,6.22,10.13,14.23,12.36,12710,24.90313,74.64148,26.8105777,73.7684549
CHURU,General,1.86,0.6,1.2,2.42,0.0,0.56,2.22,3.25,2.78,12711,28.36165,74.94802,26.8105777,73.7684549
CHURU,OBC,3.42,3.93,3.69,2.89,1.91,2.38,8.18,8.41,8.31,12711,28.36165,74.94802,26.8105777,73.7684549
CHURU,SC,0.92,1.69,1.31,4.64,3.35,3.96,7.92,8.9,8.45,12711,28.36165,74.94802,26.8105777,73.7684549
CHURU,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,4.01,12711,28.36165,74.94802,26.8105777,73.7684549
CHURU,Overall,2.2,2.56,2.39,3.17,1.71,2.41,6.93,7.61,7.31,12711,28.36165,74.94802,26.8105777,73.7684549
DAUSA,General,4.96,5.81,5.42,5.67,5.99,5.84,8.46,6.58,7.45,12712,26.893342,76.3376514,26.8105777,73.7684549
DAUSA,OBC,3.83,4.05,3.94,0.79,0.57,0.68,2.12,0.0,0.8,12712,26.893342,76.3376514,26.8105777,73.7684549
DAUSA,SC,3.83,3.88,3.86,3.33,3.14,3.23,8.31,6.35,7.26,12712,26.893342,76.3376514,26.8105777,73.7684549
DAUSA,ST,4.84,5.03,4.94,2.11,2.41,2.27,2.93,2.52,2.71,12712,26.893342,76.3376514,26.8105777,73.7684549
DAUSA,Overall,4.2,4.44,4.33,2.27,2.27,2.27,4.45,2.78,3.57,12712,26.893342,76.3376514,26.8105777,73.7684549
DHAULPUR,General,2.6,4.02,3.38,2.34,1.51,1.89,6.2,0.0,2.71,12713,26.69446,77.87816,26.8105777,73.7684549
DHAULPUR,OBC,3.26,3.27,3.27,4.88,6.11,5.55,14.22,10.87,12.39,12713,26.69446,77.87816,26.8105777,73.7684549
DHAULPUR,SC,3.78,4.17,3.99,5.92,7.05,6.52,16.56,12.83,14.58,12713,26.69446,77.87816,26.8105777,73.7684549
DHAULPUR,ST,3.5,4.41,3.99,2.82,2.52,2.66,6.54,7.59,7.12,12713,26.69446,77.87816,26.8105777,73.7684549
DHAULPUR,Overall,3.26,3.68,3.49,4.48,5.16,4.85,12.35,8.35,10.17,12713,26.69446,77.87816,26.8105777,73.7684549
DUNGARPUR,General,7.81,12.11,10.25,6.97,7.29,7.15,5.09,6.17,5.71,12714,23.80264,73.75865,26.8105777,73.7684549
DUNGARPUR,OBC,4.46,5.05,4.78,3.32,3.27,3.29,4.37,5.44,4.96,12714,23.80264,73.75865,26.8105777,73.7684549
DUNGARPUR,SC,4.16,7.91,6.12,9.81,12.64,11.35,9.08,10.23,9.71,12714,23.80264,73.75865,26.8105777,73.7684549
DUNGARPUR,ST,3.18,3.26,3.22,3.58,4.52,4.07,10.89,13.76,12.31,12714,23.80264,73.75865,26.8105777,73.7684549
DUNGARPUR,Overall,3.58,4.17,3.89,3.95,4.85,4.42,9.77,11.97,10.89,12714,23.80264,73.75865,26.8105777,73.7684549
GANGANAGAR,General,3.28,5.08,4.25,3.6,2.07,2.75,3.77,1.17,2.31,12715,29.9049489,73.8792934139276,26.8105777,73.7684549
GANGANAGAR,OBC,3.43,3.91,3.68,2.92,4.04,3.53,6.52,7.82,7.25,12715,29.9049489,73.8792934139276,26.8105777,73.7684549
GANGANAGAR,SC,3.3,4.47,3.91,4.55,5.52,5.05,8.16,10.75,9.5,12715,29.9049489,73.8792934139276,26.8105777,73.7684549
GANGANAGAR,ST,0.0,0.0,0.0,0.0,10.55,4.1,17.36,35.0,26.82,12715,29.9049489,73.8792934139276,26.8105777,73.7684549
GANGANAGAR,Overall,3.24,4.29,3.79,3.73,4.47,4.12,6.99,8.31,7.71,12715,29.9049489,73.8792934139276,26.8105777,73.7684549
HANUMANGARH,General,5.75,2.88,4.25,1.43,0.0,0.0,1.05,0.0,0.12,12716,26.3554397,75.41507,26.8105777,73.7684549
