,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
110,Rajasthan,127,OBC,0,1,2.0,0,2,3.0,2,3,1.0
111,Rajasthan,127,SC,2,2,1.0,3,2,2.0,2,1,2.0
112,Rajasthan,127,Overall,2,3,,2,0,,2,4,
113,Rajasthan,127,ST,2,4,4.0,1,2,0.0,0,1,2.0
114,Rajasthan,127,General,2,2,2.0,0,1,4.0,2,2,2.0
