,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
0,General,1.0651515151515152,1.2706060606060605,1.11,3.0787878787878786,2.2612121212121212,2.4745454545454546,10.685151515151516,14.473636363636363,12.635454545454547,10917.0,22.3850051,71.745261
1,OBC,1.2448484848484849,1.2742424242424242,1.2430303030303032,7.4363636363636365,5.369090909090909,6.3115151515151515,19.616969696969697,23.393939393939394,21.709090909090907,10917.0,22.3850051,71.745261
2,Overall,0.49545454545454537,0.5381818181818182,0.5015151515151516,5.767575757575758,4.3121212121212125,4.995151515151515,16.69424242424242,20.10878787878788,18.567878787878787,10917.0,22.3850051,71.745261
3,SC,1.8612121212121213,1.9651515151515149,1.8445454545454545,6.069393939393939,5.489999999999999,5.658787878787879,15.733636363636364,20.862727272727273,18.583030303030302,10917.0,22.3850051,71.745261
4,ST,2.850909090909091,2.471818181818182,2.522727272727273,10.001212121212122,8.243636363636364,8.872424242424243,20.505454545454544,26.440909090909088,23.54939393939394,10917.0,22.3850051,71.745261
