,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
55,Karnataka,114,General,0,1,0.0,2,0,1.0,1,3,0.0
56,Karnataka,114,ST,1,1,3.0,0,0,3.0,1,0,1.0
57,Karnataka,114,Overall,3,2,,1,1,,1,0,
58,Karnataka,114,OBC,1,3,1.0,1,1,0.0,0,0,0.0
59,Karnataka,114,SC,0,3,0.0,4,0,0.0,0,0,0.0
