DNo,District,Social Category,Income,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
10011,VISAKHAPATNAM,SC,High,0.0,0.0,0.0,0.0,0.67,0.04,4.24,10.94,7.65
10011,VISAKHAPATNAM,ST,High,1.99,2.83,2.42,4.28,6.17,5.26,6.24,12.64,9.42
10011,VISAKHAPATNAM,Overall,High,0.0,0.0,0.0,0.9,0.83,0.87,7.6,12.61,10.2
10012,VIZIANAGARAM,General,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,VIZIANAGARAM,OBC,High,0.3,2.12,1.25,1.05,2.04,1.56,11.97,17.82,14.94
10012,VIZIANAGARAM,SC,High,0.0,0.0,0.0,0.59,0.65,0.62,1.22,0.79,1.01
10012,VIZIANAGARAM,ST,High,0.0,0.12,0.03,2.57,4.31,3.48,0.0,0.0,0.0
10012,VIZIANAGARAM,Overall,High,0.0,0.68,0.05,1.0,1.56,1.29,6.47,9.46,7.98
10013,WESTGODAVARI,General,High,0.0,0.0,0.0,1.2,1.32,1.26,12.77,18.12,15.52
10013,WESTGODAVARI,OBC,High,0.0,0.0,0.0,0.27,1.04,0.66,13.95,20.72,17.39
10013,WESTGODAVARI,SC,High,0.0,0.0,0.0,0.0,0.51,0.11,10.79,20.0,15.43
10013,WESTGODAVARI,ST,High,0.0,1.83,0.75,2.63,6.14,4.4,4.42,6.89,5.64
10013,WESTGODAVARI,Overall,High,0.0,0.0,0.0,0.47,1.19,0.84,12.49,19.34,15.97
10101,ArunachalPradesh,General,High,6.78,6.48,6.63,6.37,3.64,5.02,22.98,19.28,21.21
10101,ArunachalPradesh,SC,High,0.0,0.07,0.0,11.77,0.0,3.6,6.28,5.88,6.07
10101,ArunachalPradesh,ST,High,11.0,10.8,10.9,9.05,5.58,7.39,9.34,8.72,9.04
10101,ArunachalPradesh,OBC,High,0.0,0.0,0.0,5.61,0.92,3.29,10.54,23.33,17.6
10201,BAJALI,General,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201,BAJALI,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201,BAJALI,SC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201,BAJALI,ST,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201,BAJALI,Overall,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10202,BAKSA,General,Low,46.55,47.98,47.27,51.88,52.2,52.03,60.03,57.89,59.05
10202,BAKSA,OBC,Low,52.1,52.75,52.42,45.1,47.32,46.17,61.25,58.05,59.75
10202,BAKSA,SC,Low,68.83,68.27,68.56,66.55,66.6,66.58,72.86,68.74,70.95
10202,BAKSA,ST,Low,42.36,41.03,41.7,38.9,36.99,37.97,45.23,45.19,45.21
10202,BAKSA,Overall,Low,49.15,49.1,49.13,47.28,47.22,47.25,55.81,53.6,54.75
10203,BARPETA,General,High,13.96,16.67,15.33,20.82,25.62,23.08,33.64,30.79,32.37
10203,BARPETA,OBC,High,40.09,40.54,40.32,44.96,44.43,44.7,38.49,40.1,39.31
10203,BARPETA,SC,High,23.39,27.36,25.41,27.63,32.0,29.77,46.6,50.92,48.68
10203,BARPETA,ST,High,42.77,43.05,42.91,40.95,41.6,41.27,31.29,31.44,31.37
10203,BARPETA,Overall,High,15.84,18.46,17.17,22.59,27.16,24.75,34.66,32.82,33.83
10204,BISWANATH,General,High,0.0,0.0,0.0,1.57,4.07,2.77,12.56,12.8,12.67
10204,BISWANATH,OBC,High,6.81,9.77,8.32,6.39,11.47,8.94,33.27,33.21,33.24
10204,BISWANATH,SC,High,4.45,6.95,5.73,7.6,6.55,7.1,25.79,25.97,25.88
10204,BISWANATH,ST,High,6.34,6.72,6.53,7.02,7.08,7.05,21.74,25.17,23.41
10204,BISWANATH,Overall,High,4.54,6.68,5.62,5.53,8.48,6.99,25.71,26.54,26.09
10205,BONGAIGAON,General,High,1.5,2.12,1.82,7.17,13.34,10.07,35.24,29.54,32.68
10205,BONGAIGAON,OBC,High,5.15,3.94,4.53,3.28,0.26,1.78,25.61,25.74,25.67
10205,BONGAIGAON,SC,High,9.54,11.29,10.42,10.79,7.46,9.15,36.31,34.93,35.63
10205,BONGAIGAON,ST,High,10.54,11.67,11.13,6.2,2.53,4.36,22.12,16.59,19.38
10205,BONGAIGAON,Overall,High,3.05,3.52,3.29,6.9,10.25,8.49,32.82,28.82,30.93
10206,CACHAR,General,Low,0.82,2.76,1.81,3.77,5.79,4.78,16.81,16.6,16.7
10206,CACHAR,OBC,Low,3.2,5.02,4.12,2.26,5.22,3.73,26.77,28.41,27.55
10206,CACHAR,SC,Low,3.0,1.78,2.39,6.55,7.88,7.2,27.78,23.8,25.92
10206,CACHAR,ST,Low,9.49,10.92,10.23,17.89,20.44,19.23,7.1,3.9,5.47
10206,CACHAR,Overall,Low,2.28,3.54,2.92,4.44,6.64,5.53,21.59,20.85,21.24
10207,CHARAIDEO,General,Low,0.0,0.0,0.0,0.39,0.6,0.5,0.0,0.0,0.0
10207,CHARAIDEO,OBC,Low,4.48,5.26,4.88,5.29,6.97,6.12,12.36,21.58,16.74
10207,CHARAIDEO,SC,Low,0.0,0.55,0.0,6.18,6.53,6.36,5.7,30.59,18.94
10207,CHARAIDEO,ST,Low,2.07,0.0,0.0,13.18,18.44,15.87,18.3,18.66,18.47
10207,CHARAIDEO,Overall,Low,3.75,4.26,4.02,5.17,6.76,5.97,9.4,18.37,13.72
10208,CHIRANG,General,High,4.35,8.7,6.59,10.03,14.53,12.13,37.73,33.47,35.82
10208,CHIRANG,OBC,High,4.63,4.23,4.43,0.0,0.0,0.0,8.44,12.53,10.47
10208,CHIRANG,SC,High,2.48,0.62,1.53,0.0,0.0,0.0,26.26,14.83,21.11
