DNo,District,Social Category,Income,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
11104,KANGRA,ST,High,0.0,0.0,0.0,2.46,0.17,1.28,0.0,0.0,0.0
11104,KANGRA,Overall,High,0.0,0.0,0.0,0.17,0.0,0.0,0.03,1.21,0.67
11105,KINNAUR,General,High,15.47,15.55,15.51,9.85,18.73,14.57,18.6,16.0,17.2
11105,KINNAUR,OBC,High,21.43,0.0,3.85,0.0,0.0,0.0,33.33,0.0,0.0
11105,KINNAUR,SC,High,14.07,10.56,12.35,0.0,0.0,0.0,3.48,6.11,4.88
11105,KINNAUR,ST,High,0.0,0.0,0.0,1.58,1.29,1.44,1.2,2.98,2.11
11105,KINNAUR,Overall,High,5.39,4.82,5.1,2.97,4.86,3.91,4.79,5.48,5.14
11106,KULLU,General,High,3.46,2.48,2.97,1.39,0.44,0.91,0.0,2.59,1.06
11106,KULLU,OBC,High,3.22,4.54,3.88,3.82,0.0,0.0,5.66,0.0,2.46
11106,KULLU,SC,High,0.0,0.0,0.0,1.48,0.2,0.85,5.65,2.68,4.16
11106,KULLU,ST,High,0.0,0.0,0.0,1.85,7.39,4.82,0.31,0.0,0.0
11106,KULLU,Overall,High,1.86,0.87,1.36,1.49,0.33,0.9,1.65,2.36,2.01
11107,LAHUL&SPITI,General,High,0.0,0.0,0.0,26.67,22.73,25.0,12.5,27.27,21.05
11107,LAHUL&SPITI,OBC,High,66.67,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
11107,LAHUL&SPITI,SC,High,28.3,0.0,11.22,5.88,21.05,11.32,45.83,0.0,25.0
11107,LAHUL&SPITI,ST,High,0.0,2.77,0.0,7.78,0.0,1.93,19.05,20.7,19.85
11107,LAHUL&SPITI,Overall,High,0.0,1.48,0.0,8.44,0.0,3.49,20.65,19.88,20.28
11108,MANDI,General,High,2.27,2.01,2.13,1.36,2.22,1.81,0.0,0.0,0.0
11108,MANDI,OBC,High,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.69,0.0
11108,MANDI,SC,High,0.0,0.0,0.0,0.12,0.0,0.0,2.8,3.35,3.08
11108,MANDI,ST,High,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11108,MANDI,Overall,High,0.09,0.0,0.02,0.86,0.54,0.69,0.58,0.61,0.6
11109,SHIMLA,General,High,1.4,1.63,1.52,2.66,2.69,2.68,3.5,5.63,4.64
11109,SHIMLA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11109,SHIMLA,SC,High,0.48,1.4,0.94,0.0,0.13,0.0,0.0,1.78,0.08
11109,SHIMLA,ST,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11109,SHIMLA,Overall,High,1.04,1.34,1.19,1.31,1.61,1.47,1.13,4.05,2.67
11110,SIRMAUR,General,High,0.01,0.0,0.0,0.0,1.83,0.81,0.54,2.98,1.84
11110,SIRMAUR,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,SIRMAUR,SC,High,0.0,0.0,0.0,0.96,0.0,0.16,4.01,3.54,3.77
11110,SIRMAUR,ST,High,2.9,3.61,3.25,0.0,0.0,0.0,11.51,15.91,14.21
11110,SIRMAUR,Overall,High,0.0,0.0,0.0,0.0,0.05,0.0,1.43,2.35,1.91
11111,SOLAN,General,High,0.0,0.0,0.0,2.98,2.65,2.8,2.11,4.53,3.47
11111,SOLAN,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11111,SOLAN,SC,High,0.0,1.09,0.0,0.19,0.0,0.09,3.1,2.84,2.96
11111,SOLAN,ST,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11111,SOLAN,Overall,High,0.0,0.0,0.0,1.44,0.63,1.01,1.67,3.08,2.45
11112,UNA,General,High,0.54,0.0,0.1,2.76,2.84,2.8,3.66,3.93,3.82
11112,UNA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112,UNA,SC,High,0.0,0.28,0.0,0.0,1.48,0.0,0.0,0.0,0.0
11112,UNA,ST,High,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112,UNA,Overall,High,0.0,0.0,0.0,0.28,1.47,0.92,0.0,0.26,0.0
11201,ANANTNAG,General,High,5.24,6.11,5.69,1.05,3.56,2.34,2.52,8.12,5.39
11201,ANANTNAG,OBC,High,0.0,0.0,0.0,1.84,2.62,2.23,31.9,33.86,32.86
11201,ANANTNAG,SC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11201,ANANTNAG,ST,High,0.0,0.0,0.0,6.77,4.48,5.59,14.05,15.19,14.72
11201,ANANTNAG,Overall,High,1.9,3.12,2.53,1.83,3.57,2.73,6.61,11.34,9.05
11202,BADGAM,General,High,5.48,6.04,5.77,2.19,3.79,3.01,6.1,1.01,3.55
11202,BADGAM,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0
11202,BADGAM,SC,High,17.65,14.29,15.56,0.0,16.67,5.88,33.33,0.0,12.5
11202,BADGAM,ST,High,7.02,5.35,6.16,0.0,0.0,0.0,0.0,0.0,0.0
11202,BADGAM,Overall,High,3.71,3.88,3.8,0.63,2.1,1.38,4.15,0.28,2.2
11203,BANDIPORA,General,High,8.1,6.2,7.13,2.27,3.07,2.67,18.15,5.8,12.16
11203,BANDIPORA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,15.53,28.32,22.13
11203,BANDIPORA,SC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11203,BANDIPORA,ST,High,1.17,3.76,2.49,2.77,3.78,3.3,29.81,23.16,26.03
11203,BANDIPORA,Overall,High,4.29,3.91,4.1,1.68,2.05,1.87,20.17,11.81,15.95
11204,BARAMULA,General,High,6.32,5.06,5.68,5.95,7.84,6.91,5.56,6.63,6.1
11204,BARAMULA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
11204,BARAMULA,SC,High,71.79,81.82,77.11,87.5,92.59,90.2,85.71,0.0,0.0
11204,BARAMULA,ST,High,1.93,5.5,3.78,9.35,2.02,5.39,45.24,20.47,30.55
11204,BARAMULA,Overall,High,3.55,3.17,3.36,2.58,4.87,3.74,5.37,6.76,6.08
11205,DODA,General,Middle,6.12,7.12,6.64,2.76,1.91,2.32,3.29,2.55,2.89
11205,DODA,OBC,Middle,27.66,29.13,28.43,23.53,19.73,21.42,25.27,30.63,28.22
11205,DODA,SC,Middle,1.28,1.05,1.16,4.47,0.28,2.33,4.61,4.25,4.43
11205,DODA,ST,Middle,3.22,5.2,4.27,6.71,0.0,1.51,12.25,8.14,9.89
11205,DODA,Overall,Middle,5.59,6.59,6.11,3.81,1.54,2.64,4.84,4.14,4.48
11206,GANDERBAL,General,High,3.25,4.59,3.92,0.95,1.34,1.15,0.93,15.11,8.36
11206,GANDERBAL,OBC,High,14.98,19.03,17.01,13.37,13.22,13.29,30.93,0.0,12.68
11206,GANDERBAL,SC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11206,GANDERBAL,ST,High,7.8,7.46,7.63,6.98,14.25,10.72,18.91,8.42,12.75
11206,GANDERBAL,Overall,High,6.04,7.28,6.66,4.14,5.64,4.9,7.09,11.32,9.33
11207,JAMMU,General,High,6.68,5.87,6.24,5.4,3.52,4.36,2.82,0.0,0.99
11207,JAMMU,OBC,High,3.43,2.21,2.78,4.84,0.0,0.44,0.0,0.0,0.0
11207,JAMMU,SC,High,0.31,0.0,0.0,1.41,0.0,0.44,2.2,2.4,2.31
11207,JAMMU,ST,High,1.93,0.0,0.0,2.96,0.0,0.58,13.87,0.0,2.14
11207,JAMMU,Overall,High,4.55,3.28,3.86,4.23,1.84,2.91,2.85,0.0,1.01
11208,KATHUA,General,High,2.43,5.33,4.02,0.91,2.26,1.65,3.39,3.0,3.18
11208,KATHUA,OBC,High,4.23,0.21,2.07,0.0,0.0,0.0,0.0,1.74,0.0
11208,KATHUA,SC,High,0.0,1.11,0.57,2.72,1.59,2.11,8.02,4.77,6.3
11208,KATHUA,ST,High,7.3,5.34,6.27,9.97,7.58,8.7,17.24,10.68,13.44
11208,KATHUA,Overall,High,2.55,3.94,3.3,1.91,2.35,2.14,4.85,4.02,4.39
11209,KISHTWAR,General,Middle,8.16,9.88,9.06,5.85,2.74,4.25,11.56,12.84,12.24
11209,KISHTWAR,OBC,Middle,30.75,31.77,31.27,25.77,17.91,22.34,0.0,0.0,0.0
11209,KISHTWAR,SC,Middle,5.79,0.0,2.32,0.0,0.0,0.0,6.4,0.0,0.33
11209,KISHTWAR,ST,Middle,9.34,8.92,9.1,12.8,11.3,11.94,27.62,25.48,26.2
11209,KISHTWAR,Overall,Middle,8.96,9.7,9.35,6.51,4.03,5.22,11.5,12.0,11.77
11210,KULGAM,General,High,8.27,8.37,8.33,6.94,7.48,7.21,8.15,4.55,6.35
11210,KULGAM,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11210,KULGAM,SC,High,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11210,KULGAM,ST,High,10.02,9.97,10.0,0.0,2.05,0.0,13.61,2.04,7.4
11210,KULGAM,Overall,High,7.5,6.88,7.18,5.64,5.84,5.74,6.75,2.71,4.73
11211,KUPWARA,General,High,5.27,4.91,5.09,0.21,0.98,0.6,3.28,0.0,0.5
11211,KUPWARA,OBC,High,7.13,3.81,5.45,0.0,0.0,0.0,39.57,39.39,39.47
11211,KUPWARA,SC,High,88.89,0.0,95.45,0.0,96.87,98.8,0.0,0.0,0.0
11211,KUPWARA,ST,High,6.67,7.33,7.0,5.56,0.78,3.1,22.6,24.17,23.57
11211,KUPWARA,Overall,High,5.6,5.18,5.38,0.71,0.63,0.67,9.37,6.43,7.79
11212,PULWAMA,General,High,2.92,2.05,2.48,0.0,0.0,0.0,0.0,0.0,0.0
11212,PULWAMA,OBC,High,0.0,0.0,0.0,5.14,9.95,7.55,37.69,40.29,38.91
11212,PULWAMA,SC,High,50.0,63.64,56.0,66.67,0.0,16.67,0.0,0.0,0.0
11212,PULWAMA,ST,High,1.03,0.0,0.0,3.22,7.63,5.64,3.12,0.0,0.0
11212,PULWAMA,Overall,High,1.61,0.69,1.15,0.0,0.97,0.0,1.55,0.0,0.0
11213,PUNCH,General,High,0.93,2.67,1.84,0.04,0.92,0.51,10.71,7.99,9.28
11213,PUNCH,OBC,High,31.31,32.69,32.04,27.55,33.44,30.66,0.0,12.19,6.07
11213,PUNCH,SC,High,79.73,84.33,82.69,84.09,43.75,73.33,50.0,33.33,42.86
11213,PUNCH,ST,High,7.7,5.58,6.6,6.16,4.34,5.2,22.21,9.05,14.69
11213,PUNCH,Overall,High,5.82,5.97,5.9,4.49,4.29,4.38,14.45,8.58,11.25
11214,RAJAURI,General,High,4.4,5.15,4.8,4.99,5.03,5.01,0.43,3.47,2.11
11214,RAJAURI,OBC,High,36.85,30.96,33.89,24.45,17.96,21.22,11.69,33.17,22.77
11214,RAJAURI,SC,High,0.0,0.0,0.0,0.0,0.0,0.0,24.24,0.0,8.02
11214,RAJAURI,ST,High,5.7,2.72,4.16,11.1,3.06,6.88,19.21,7.67,12.6
11214,RAJAURI,Overall,High,6.01,4.59,5.27,7.35,3.55,5.34,8.12,5.41,6.62
11215,RAMBAN,General,High,2.4,2.15,2.27,2.54,3.92,3.25,0.0,5.84,2.94
11215,RAMBAN,OBC,High,16.3,12.16,14.19,25.99,27.34,26.72,32.94,21.62,26.53
11215,RAMBAN,SC,High,1.6,2.68,2.15,0.0,0.0,0.0,0.0,0.0,0.0
11215,RAMBAN,ST,High,2.89,0.0,0.0,8.97,3.41,6.05,18.01,18.87,18.49
11215,RAMBAN,Overall,High,2.96,1.54,2.22,3.75,4.25,4.01,1.42,6.86,4.4
11216,REASI,General,High,10.59,10.07,10.32,6.48,7.07,6.8,10.68,10.61,10.64
11216,REASI,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,19.05,26.76,23.09
11216,REASI,SC,High,1.99,0.0,0.0,5.26,2.28,3.77,11.2,15.03,13.11
11216,REASI,ST,High,0.0,0.0,0.0,8.04,0.0,3.14,16.28,15.09,15.6
11216,REASI,Overall,High,3.8,2.86,3.3,6.1,3.32,4.62,12.3,13.01,12.69
11217,SAMBA,General,High,1.02,2.5,1.85,2.74,1.46,2.02,0.22,0.2,0.21
11217,SAMBA,OBC,High,3.44,1.95,2.62,4.43,0.0,0.0,9.23,10.04,9.69
11217,SAMBA,SC,High,7.12,5.62,6.33,4.7,3.18,3.9,6.95,14.16,10.88
11217,SAMBA,ST,High,4.98,0.0,0.42,7.66,1.34,4.25,22.31,19.83,20.87
11217,SAMBA,Overall,High,3.61,3.02,3.28,3.92,1.18,2.42,4.7,6.88,5.92
11218,SHOPIAN,General,High,5.42,4.27,4.84,0.0,1.58,0.65,4.38,4.41,4.39
11218,SHOPIAN,OBC,High,34.39,33.72,34.06,47.67,33.89,40.62,71.19,35.56,55.77
11218,SHOPIAN,SC,High,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
11218,SHOPIAN,ST,High,5.91,0.88,3.38,3.74,0.0,0.0,0.0,0.0,0.0
11218,SHOPIAN,Overall,High,6.34,4.65,5.49,1.66,1.93,1.8,4.71,3.46,4.07
11219,SRINAGAR,General,High,2.36,2.04,2.19,0.54,1.33,0.94,0.0,5.41,2.12
11219,SRINAGAR,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11219,SRINAGAR,SC,High,0.0,0.0,0.0,0.0,1.75,0.0,46.15,33.33,41.77
11219,SRINAGAR,ST,High,0.0,4.58,1.51,2.18,0.0,0.0,5.31,0.0,0.0
11219,SRINAGAR,Overall,High,1.47,1.58,1.52,0.32,0.92,0.63,0.0,4.05,1.41
11220,UDHAMPUR,General,High,0.41,1.14,0.8,1.58,1.76,1.68,9.72,9.36,9.53
11220,UDHAMPUR,OBC,High,4.8,5.05,4.93,6.56,8.91,7.8,4.21,14.06,9.64
11220,UDHAMPUR,SC,High,0.8,3.35,2.1,10.31,7.17,8.68,14.37,16.3,15.4
11220,UDHAMPUR,ST,High,2.04,4.52,3.33,7.09,8.07,7.63,21.32,27.08,24.68
11220,UDHAMPUR,Overall,High,0.91,2.34,1.66,4.97,4.31,4.62,11.73,13.14,12.5
11301,BOKARO,General,High,0.21,3.03,1.81,0.0,0.0,0.0,0.0,0.0,0.0
11301,BOKARO,OBC,High,0.0,1.03,0.34,2.65,0.73,1.69,8.14,4.05,6.15
11301,BOKARO,SC,High,0.0,0.24,0.0,0.71,0.41,0.55,5.95,4.9,5.43
11301,BOKARO,ST,High,1.7,3.07,2.41,0.0,0.89,0.43,5.51,7.33,6.4
11301,BOKARO,Overall,High,0.0,1.6,0.77,1.06,0.0,0.28,4.88,3.2,4.03
11302,CHATRA,General,High,12.13,11.57,11.83,7.95,7.74,7.85,3.47,11.57,7.42
11302,CHATRA,OBC,High,0.0,1.83,0.94,2.07,2.93,2.5,8.66,12.87,10.67
11302,CHATRA,SC,High,4.77,5.31,5.05,10.62,13.27,11.93,12.04,15.97,13.88
11302,CHATRA,ST,High,3.46,2.7,3.08,5.7,7.28,6.43,13.73,20.53,16.67
11302,CHATRA,Overall,High,2.99,3.99,3.5,5.73,7.2,6.45,9.33,13.85,11.47
11303,DEOGHAR,General,High,19.82,17.95,18.78,11.22,6.75,8.78,0.0,0.0,0.0
11303,DEOGHAR,OBC,High,0.0,0.0,0.0,6.47,4.99,5.74,20.74,15.28,17.98
11303,DEOGHAR,SC,High,0.0,0.0,0.0,7.99,5.17,6.56,20.07,11.2,15.26
11303,DEOGHAR,ST,High,6.97,8.3,7.66,15.41,18.93,17.24,19.81,14.44,17.2
11303,DEOGHAR,Overall,High,2.11,2.22,2.17,8.15,6.71,7.42,14.78,8.2,11.37
11304,DHANBAD,General,High,7.35,8.39,7.94,2.65,5.26,4.12,0.0,0.0,0.0
11304,DHANBAD,OBC,High,0.0,0.45,0.0,3.2,6.02,4.63,12.19,12.85,12.51
11304,DHANBAD,SC,High,0.0,1.24,0.0,4.46,7.59,6.02,13.22,11.47,12.4
11304,DHANBAD,ST,High,3.07,4.29,3.71,5.43,10.18,7.81,3.8,8.24,5.92
11304,DHANBAD,Overall,High,0.46,2.83,1.73,3.56,6.52,5.09,4.18,7.39,5.8
11305,DUMKA,General,High,21.86,14.74,18.1,2.77,7.25,5.14,0.0,0.0,0.0
11305,DUMKA,OBC,High,0.0,0.0,0.0,4.72,5.65,5.18,17.65,18.75,18.2
11305,DUMKA,SC,High,2.65,1.19,1.92,9.43,5.49,7.47,14.02,2.78,8.64
11305,DUMKA,ST,High,0.39,3.52,1.99,4.41,7.11,5.75,0.64,6.22,3.32
11305,DUMKA,Overall,High,0.37,1.55,0.97,4.87,6.25,5.56,10.14,12.48,11.29
11306,GARHWA,General,High,11.15,7.61,9.23,19.18,16.72,17.9,34.37,41.48,38.12
11306,GARHWA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,17.85,23.44,20.46
11306,GARHWA,SC,High,0.3,0.09,0.2,5.05,5.89,5.46,17.99,30.02,23.93
11306,GARHWA,ST,High,0.84,2.7,1.8,3.72,8.82,6.13,19.98,31.86,25.03
11306,GARHWA,Overall,High,0.0,0.0,0.0,1.88,1.81,1.85,19.33,27.65,23.26
11307,GIRIDIH,General,High,9.06,9.97,9.57,1.36,0.0,0.37,3.21,8.56,6.08
11307,GIRIDIH,OBC,High,0.91,1.97,1.46,3.51,3.94,3.73,17.5,12.45,15.09
11307,GIRIDIH,SC,High,0.0,0.0,0.0,4.89,3.24,4.09,13.69,13.05,13.39
11307,GIRIDIH,ST,High,5.75,7.85,6.83,10.21,12.79,11.48,12.97,30.49,21.84
11307,GIRIDIH,Overall,High,1.65,3.02,2.36,4.12,4.22,4.17,15.18,13.31,14.28
11308,GODDA,General,High,4.65,15.79,11.16,15.56,19.34,17.48,0.0,0.0,0.0
11308,GODDA,OBC,High,0.0,0.0,0.0,6.45,4.53,5.52,15.86,14.05,14.95
11308,GODDA,SC,High,0.0,0.0,0.0,8.69,7.98,8.33,6.36,0.53,3.16
11308,GODDA,ST,High,6.1,6.28,6.19,6.83,6.75,6.79,5.29,9.89,7.68
11308,GODDA,Overall,High,0.31,0.52,0.41,7.03,5.79,6.42,9.92,8.89,9.39
11309,GUMLA,General,Low,7.95,5.19,6.48,0.0,0.0,0.0,0.0,0.0,0.0
11309,GUMLA,OBC,Low,2.67,5.41,4.05,5.77,6.15,5.95,14.01,15.02,14.48
11309,GUMLA,SC,Low,18.14,11.78,14.87,13.04,6.46,9.58,23.17,23.42,23.3
11309,GUMLA,ST,Low,5.62,7.89,6.78,7.12,7.22,7.16,18.77,21.27,19.93
11309,GUMLA,Overall,Low,5.74,7.52,6.65,6.7,6.62,6.66,16.65,18.82,17.67
11310,HAZARIBAG,General,Low,28.49,28.34,28.4,21.08,19.53,20.26,8.32,0.0,0.0
11310,HAZARIBAG,OBC,Low,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0
11310,HAZARIBAG,SC,Low,3.03,3.04,3.04,7.72,6.99,7.37,8.43,1.33,5.08
11310,HAZARIBAG,ST,Low,9.1,10.33,9.73,6.02,6.88,6.46,6.84,7.78,7.29
11310,HAZARIBAG,Overall,Low,3.35,4.25,3.83,2.6,1.08,1.84,4.44,0.0,0.55
11311,JAMTARA,General,Middle,0.0,1.93,0.0,0.0,7.51,1.46,0.0,0.0,0.0
11311,JAMTARA,OBC,Middle,0.0,0.0,0.0,4.75,4.7,4.72,14.7,13.17,13.96
11311,JAMTARA,SC,Middle,1.93,1.97,1.95,10.31,9.22,9.75,0.37,15.78,8.08
11311,JAMTARA,ST,Middle,0.68,0.84,0.77,9.48,9.23,9.36,7.13,8.1,7.59
11311,JAMTARA,Overall,Middle,0.0,0.0,0.0,6.28,6.6,6.44,10.17,9.45,9.82
11312,KHUNTI,General,High,14.75,21.65,18.44,0.0,0.0,0.0,0.0,33.72,14.07
11312,KHUNTI,OBC,High,0.94,2.38,1.67,1.78,0.0,0.0,0.0,14.95,7.18
11312,KHUNTI,SC,High,0.0,8.07,2.95,8.94,3.4,6.21,13.83,26.11,19.84
11312,KHUNTI,ST,High,0.83,3.73,2.31,5.68,2.62,4.19,17.81,22.5,20.0
11312,KHUNTI,Overall,High,1.04,4.45,2.78,4.73,1.49,3.16,13.24,22.12,17.48
11313,KODARMA,General,High,13.12,10.2,11.51,3.37,0.0,1.23,0.0,0.0,0.0
11313,KODARMA,OBC,High,0.0,0.0,0.0,0.51,2.5,1.5,1.23,10.97,5.92
11313,KODARMA,SC,High,4.22,5.86,5.06,5.6,7.36,6.46,6.96,6.78,6.88
11313,KODARMA,ST,High,29.32,29.33,29.32,41.12,42.69,41.94,33.33,61.88,51.79
11313,KODARMA,Overall,High,1.7,1.07,1.37,2.39,3.67,3.03,1.0,6.32,3.6
11314,LATEHAR,General,High,11.36,12.99,12.21,19.25,19.12,19.18,19.7,29.64,24.66
11314,LATEHAR,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.04,4.53
11314,LATEHAR,SC,High,1.73,4.17,2.98,11.06,10.77,10.92,11.77,11.17,11.49
11314,LATEHAR,ST,High,0.0,1.19,0.33,5.3,6.16,5.71,6.64,10.63,8.45
11314,LATEHAR,Overall,High,0.0,1.39,0.39,5.77,5.47,5.62,7.62,9.53,8.51
11315,LOHARDAGA,General,High,0.0,3.58,1.45,0.0,0.0,0.0,6.65,25.14,17.01
11315,LOHARDAGA,OBC,High,2.93,2.46,2.7,1.42,2.59,1.97,15.39,18.64,16.82
11315,LOHARDAGA,SC,High,1.58,9.58,5.74,5.83,13.83,9.87,19.1,34.66,27.34
11315,LOHARDAGA,ST,High,0.0,2.24,0.91,2.71,0.0,1.34,11.2,14.25,12.53
11315,LOHARDAGA,Overall,High,0.62,2.73,1.69,2.26,1.03,1.69,12.74,17.79,15.02
11316,PAKAUR,General,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11316,PAKAUR,OBC,High,0.0,0.0,0.0,7.66,7.49,7.58,18.92,11.35,15.42
11316,PAKAUR,SC,High,4.34,4.81,4.58,9.59,9.9,9.74,19.6,10.91,15.45
11316,PAKAUR,ST,High,5.62,6.78,6.23,13.54,12.23,12.9,8.57,11.43,9.94
11316,PAKAUR,Overall,High,0.87,1.71,1.29,8.99,8.44,8.73,14.34,10.35,12.46
11317,PALAMU,General,Low,5.95,9.21,7.76,1.42,0.0,0.0,0.0,0.0,0.0
11317,PALAMU,OBC,Low,0.0,0.0,0.0,1.75,0.0,0.8,10.57,8.29,9.48
11317,PALAMU,SC,Low,3.77,3.29,3.53,4.82,3.73,4.27,8.73,17.22,13.02
11317,PALAMU,ST,Low,1.85,2.63,2.25,6.65,6.49,6.56,7.09,11.33,9.22
11317,PALAMU,Overall,Low,1.6,2.0,1.8,3.17,1.1,2.15,5.46,9.37,7.42
11318,PASHCHIMISINGHBHUM,General,Low,3.93,0.0,0.24,8.05,5.34,6.57,0.0,0.0,0.0
11318,PASHCHIMISINGHBHUM,OBC,Low,0.0,0.0,0.0,2.56,1.34,1.96,11.59,17.59,14.49
11318,PASHCHIMISINGHBHUM,SC,Low,6.6,8.25,7.45,7.5,8.03,7.78,19.91,15.64,17.84
11318,PASHCHIMISINGHBHUM,ST,Low,0.0,0.0,0.0,3.85,4.75,4.3,15.71,22.37,18.99
11318,PASHCHIMISINGHBHUM,Overall,Low,0.0,0.0,0.0,3.81,4.18,4.0,12.97,18.45,15.66
11319,PURBISINGHBHUM,General,Low,3.58,4.43,4.05,4.51,3.86,4.16,9.98,4.72,7.24
11319,PURBISINGHBHUM,OBC,Low,0.0,0.0,0.0,0.79,0.89,0.84,6.58,8.74,7.67
11319,PURBISINGHBHUM,SC,Low,1.57,4.84,3.27,1.0,4.05,2.55,10.0,15.18,12.55
11319,PURBISINGHBHUM,ST,Low,0.0,0.0,0.0,2.71,0.65,1.68,12.02,14.93,13.46
11319,PURBISINGHBHUM,Overall,Low,0.39,1.74,1.11,2.67,2.11,2.39,9.64,9.01,9.32
11320,RAMGARH,General,High,3.8,5.12,4.55,0.0,0.0,0.0,0.0,0.0,0.0
11320,RAMGARH,OBC,High,0.0,1.3,0.29,0.0,0.0,0.0,2.35,13.26,7.75
11320,RAMGARH,SC,High,0.08,0.7,0.4,0.0,0.0,0.0,0.0,5.88,0.0
11320,RAMGARH,ST,High,3.67,5.65,4.68,0.0,0.0,0.0,11.34,19.14,15.03
11320,RAMGARH,Overall,High,1.01,2.84,1.98,0.0,0.0,0.0,1.7,10.83,6.19
11321,RANCHI,General,Low,0.97,2.07,1.58,0.65,0.39,0.51,0.0,0.0,0.0
11321,RANCHI,OBC,Low,3.18,6.34,4.8,0.87,1.64,1.25,6.14,5.88,6.02
11321,RANCHI,SC,Low,6.32,11.24,8.91,2.07,2.56,2.32,2.87,1.68,2.26
11321,RANCHI,ST,Low,1.68,4.28,3.01,2.52,2.09,2.32,4.45,4.99,4.71
11321,RANCHI,Overall,Low,2.49,5.16,3.88,1.57,1.64,1.6,3.01,2.5,2.76
11322,SAHIBGANJ,General,High,20.2,20.23,20.22,18.76,13.27,16.12,20.79,2.77,12.04
11322,SAHIBGANJ,OBC,High,0.0,0.91,0.0,8.87,9.13,9.0,20.11,18.63,19.41
11322,SAHIBGANJ,SC,High,0.0,4.69,1.91,7.61,6.86,7.24,15.08,6.77,11.01
11322,SAHIBGANJ,ST,High,4.33,6.52,5.46,9.57,7.24,8.4,1.47,13.06,7.45
11322,SAHIBGANJ,Overall,High,0.6,2.96,1.81,9.17,8.71,8.95,16.51,15.96,16.24
11323,SARAIKELA-KHARSAWAN,General,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11323,SARAIKELA-KHARSAWAN,OBC,High,9.12,8.66,8.88,7.73,6.51,7.13,17.77,13.71,15.76
11323,SARAIKELA-KHARSAWAN,SC,High,0.0,0.0,0.0,0.05,0.0,0.0,3.22,11.59,7.32
11323,SARAIKELA-KHARSAWAN,ST,High,1.88,2.99,2.45,3.51,5.56,4.53,15.92,17.8,16.87
11323,SARAIKELA-KHARSAWAN,Overall,High,2.58,2.9,2.74,3.05,2.31,2.69,9.54,8.92,9.22
11324,SIMDEGA,General,High,9.86,15.2,12.82,0.0,14.22,5.29,0.0,19.93,7.68
11324,SIMDEGA,OBC,High,0.0,0.0,0.0,3.16,0.0,0.28,12.56,17.07,14.64
11324,SIMDEGA,SC,High,1.19,0.84,1.01,0.16,4.41,2.3,13.92,21.69,17.64
11324,SIMDEGA,ST,High,0.32,0.79,0.55,7.76,5.9,6.86,16.12,18.98,17.45
11324,SIMDEGA,Overall,High,0.0,0.19,0.05,5.94,4.39,5.2,14.59,18.94,16.63
11401,BAGALKOT,General,Low,0.97,9.24,5.59,0.0,0.0,0.0,0.0,0.0,0.0
11401,BAGALKOT,OBC,Low,0.34,0.58,0.47,1.04,2.14,1.61,15.05,17.01,16.05
11401,BAGALKOT,SC,Low,0.42,1.08,0.76,1.82,1.28,1.55,19.61,19.57,19.59
11401,BAGALKOT,ST,Low,1.47,1.58,1.53,1.54,1.67,1.61,16.53,17.08,16.81
11401,BAGALKOT,Overall,Low,0.43,0.97,0.71,0.36,1.64,1.02,14.31,16.34,15.35
11402,BALLARI,General,Low,40.51,37.09,38.7,48.75,45.39,46.96,48.18,48.45,48.33
