State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ANDHRA PRADESH,10004,GUNTUR,ST,High,1,37.55118251,62.44881749,2.960112318,97.03988433,8.601942658,91.39806032,27.31772363,72.68227339,0.205907482,99.79409575,5.361950397,94.6380496,0.008672471,99.99132156,0.021672253,99.97833371,0.002404515,99.99759197
ANDHRA PRADESH,10004,GUNTUR,Overall,High,0,82.6694265,17.33057499,1.172965672,98.8270402,49.77938235,50.22062063,0.000546155,99.99945164,0.007943337,99.99206066,0.020172185,99.97982383,0.000389146,99.99960661,7.51E-05,99.99992847,2.97E-05,99.99997616
ANDHRA PRADESH,10005,KADAPA,General,High,1,23.05061072,76.94939375,18.05917621,81.94082379,20.14566213,79.85433936,52.66158283,47.33841419,31.97587729,68.02412271,52.12111175,47.87888527,48.50954711,51.49044991,2.242804691,97.75719047,24.43805784,75.56194067
ANDHRA PRADESH,10005,KADAPA,OBC,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,0.125673413,99.87432361,0.228762487,99.77123737,0.045103175,99.95489717
ANDHRA PRADESH,10005,KADAPA,SC,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,2.121587098,97.87841439,1.064088382,98.93591404,2.20191367,97.79807925,0.046162854,99.95384216,0.02783275,99.97217059,0.010058837,99.98993874
ANDHRA PRADESH,10005,KADAPA,ST,High,1,1.425612532,98.57438207,30.02436459,69.97563839,8.003950119,91.99604392,0.000115062,99.99988079,3.773221746,96.22678161,0.057400821,99.94260073,0.004526265,99.99547005,0.060582394,99.93941784,0.002094877,99.99790192
ANDHRA PRADESH,10005,KADAPA,Overall,High,0,51.51636004,48.48363996,28.55198681,71.44801021,39.67403173,60.32596827,15.19113779,84.80886221,0.339589245,99.6604085,4.138428345,95.86156607,0.023386096,99.9766171,0.459663616,99.5403409,0.050917157,99.94908571
ANDHRA PRADESH,10006,KRISHNA,General,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,0.018189842,99.98181462,0.029455806,99.97053742,0.042836685,99.95716214,0.004356226,99.99564886,0.018079471,99.98192191,0.00029868,99.99970198
ANDHRA PRADESH,10006,KRISHNA,OBC,High,1,6.463097036,93.53690147,80.90461046,19.09539104,37.87502348,62.12497354,0.008740068,99.99126196,0.013991437,99.98600483,0.041405039,99.95859265,0.000683098,99.99932051,0.000705045,99.99929667,6.77E-05,99.99992847
ANDHRA PRADESH,10006,KRISHNA,SC,High,0,87.41642982,12.58357167,9.350644797,90.64935446,40.64961374,59.35038328,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,0.11462681,99.88536835,0.790444203,99.209553,0.099803309,99.90020394
ANDHRA PRADESH,10006,KRISHNA,ST,High,1,4.426909611,95.57309151,17.56085604,82.43914247,9.349817783,90.650177,0.116554101,99.88344312,2.258418128,97.74158597,0.356996991,99.6430099,0.082727394,99.91727471,0.793440454,99.20656085,0.131273142,99.86873269
ANDHRA PRADESH,10006,KRISHNA,Overall,High,1,0.215343665,99.78466034,0.238784077,99.76121187,0.326394918,99.673599,0.108671642,99.89132881,0.031456302,99.96854067,0.084227795,99.91577864,0.022216373,99.97778535,0.023529193,99.97647405,0.003715108,99.99628067
