,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,Andhra Pradesh,100,General,3,3,3,3,3,1,3,1,3
1,Andhra Pradesh,100,ST,3,0,1,3,4,1,2,4,3
2,Andhra Pradesh,100,OBC,3,0,0,1,3,1,1,1,3
3,Andhra Pradesh,100,SC,1,1,0,0,1,0,1,3,3
4,Andhra Pradesh,100,Overall,1,0,1,3,3,3,3,2,2
