,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
145,West Bengal,134,SC,2,2,4.0,1,3,1.0,2,1,2.0
146,West Bengal,134,OBC,0,1,2.0,2,0,4.0,2,4,1.0
147,West Bengal,134,General,4,0,4.0,0,1,0.0,2,2,2.0
148,West Bengal,134,Overall,0,1,,0,0,,2,3,
149,West Bengal,134,ST,0,2,0.0,4,2,0.0,4,1,2.0
