Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
SHIMLA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11109,31.1041526,77.1709729
SHIMLA,Overall,1.04,1.34,1.19,1.31,1.61,1.47,1.13,4.05,2.67,11109,31.1041526,77.1709729
SIRMAUR,General,0.01,0.0,0.0,0.0,1.83,0.81,0.54,2.98,1.84,11110,31.81676015,77.34932052
SIRMAUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11110,31.81676015,77.34932052
SIRMAUR,SC,0.0,0.0,0.0,0.96,0.0,0.16,4.01,3.54,3.77,11110,31.81676015,77.34932052
SIRMAUR,ST,2.9,3.61,3.25,0.0,0.0,0.0,11.51,15.91,14.21,11110,31.81676015,77.34932052
SIRMAUR,Overall,0.0,0.0,0.0,0.0,0.05,0.0,1.43,2.35,1.91,11110,31.81676015,77.34932052
SOLAN,General,0.0,0.0,0.0,2.98,2.65,2.8,2.11,4.53,3.47,11111,30.908382,77.09836
SOLAN,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11111,30.908382,77.09836
SOLAN,SC,0.0,1.09,0.0,0.19,0.0,0.09,3.1,2.84,2.96,11111,30.908382,77.09836
SOLAN,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11111,30.908382,77.09836
SOLAN,Overall,0.0,0.0,0.0,1.44,0.63,1.01,1.67,3.08,2.45,11111,30.908382,77.09836
UNA,General,0.54,0.0,0.1,2.76,2.84,2.8,3.66,3.93,3.82,11112,31.50216,76.27377
UNA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112,31.50216,76.27377
UNA,SC,0.0,0.28,0.0,0.0,1.48,0.0,0.0,0.0,0.0,11112,31.50216,76.27377
UNA,ST,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11112,31.50216,76.27377
UNA,Overall,0.0,0.0,0.0,0.28,1.47,0.92,0.0,0.26,0.0,11112,31.50216,76.27377
